Country_Region,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,People_partially_vaccinated,People_fully_vaccinated
Morocco,255716,3143,0.006927990630756652,1.2290979054889017,3259190,3027855
Mozambique,309434,9278,0.009900166163100913,2.998377683124673,134214841,121429258
Namibia,1425464,2932,0.5610039843898814,0.20568741125696616,,
Nepal,389126,4258,0.013355134852108715,1.094247107620668,3455675,3056567
Netherlands,1527956,30369,0.08917229792132104,50.31301656294247,322687,263313
New Zealand,4486,6,0.0009302744185110922,0.13374944271065536,3881480,3446930
Nicaragua,774549,8184,0.11692092780887589,1.056614881692443,29031992,26704946
Niger,43814,649,0.0018099995389693967,1.4812616971744192,70173137,67640431
Nigeria,649034,18795,0.0031485170289004215,2.89584212845552,22644572,22420907
North Macedonia,3563929,212798,1.7106476014937266,16.747944059624622,9663542,9415073
Norway,3685222,60267,0.6797744871009264,1.6353695923881926,2602309,2602309
Oman,5994818,116022,1.1739302419485915,1.9353715158658695,8167109,8095076
Pakistan,3828216,22248,0.01733068768240759,0.5811584299318534,80688940,73505580
Palau,364498,677,20.24089293647268,0.185734901151721,8916911,8146164
Panama,2891973,65471,0.6702499415959329,2.2638869726653743,31162,26294
Papua New Guinea,17902334,368011,2.0009254470786777,48.64619264098084,58792,53441
Paraguay,129797,1459,0.018197890510099502,1.124062959852693,36167,30306
Peru,5562,43,0.00016868937213888478,0.7731032002876663,187393,148288
Philippines,23361,368,0.00021318460206886983,1.5752750310346304,26345,23624
Poland,8413,106,0.00022229206556308024,1.2599548318079163,113708,86914
Portugal,8995,16,0.0008821475403774963,0.17787659811006115,26366033,24694752
Qatar,16186,114,0.005618071126599238,0.7043123687137032,1457116,1039257
Romania,5957,73,0.00030965269100508057,1.2254490515360081,3347209,3269374
Russia,753822,9085,0.005165483190193735,1.2051916765496364,84387,80153
Rwanda,85994,1967,0.006639330789056909,2.287368886201363,1743563,1125415
Saint Kitts and Nevis,2005072,15980,37.69499172807941,0.7969788616069647,5011993,4980270
Saint Lucia,42502,166,0.23145581580251484,0.39056985553621004,2820912,2765458
Saint Vincent and the Grenadines,7681,125,0.06923125456298954,1.627392266631949,1265159,1221183
Samoa,1187914,1334,6.056768469892418,0.11229769158373418,283298,140525
San Marino,2528216,19879,74.49513819317579,0.7862856654652925,2033814,1383207
Sao Tome and Principe,1007821,6588,4.598541711344628,0.6536875099844119,21231368,18267341
Saudi Arabia,14786,141,0.0004247158179813808,0.953604761260652,596605,553098
Senegal,26485,1361,0.0015817672434129861,5.1387577874268455,41188035,40375699
Serbia,3780444,100355,0.4326752787165932,2.654582371806063,17019170,14436626
Seychelles,17456,138,0.17750660972137483,0.7905591200733272,5901014,3573666
Sierra Leone,11833457,104227,1.4834498247144754,113.53542748040336,267593,237596
Singapore,663301,16504,0.11337813868349257,2.488161483248178,7824945,7627870
Slovakia,62117,4931,0.011429676494357015,7.938245568845888,6080794,5994651
Slovenia,79336,1328,0.0381619023614048,1.6738933145104367,5158199,4886268
Solomon Islands,2500917,18772,3.830721228812391,133.22592158533988,3941772,3067877
Somalia,3619598,13710,0.22774480110039383,0.3787713442210986,56018378,50955417
South Africa,17786,125,0.0002998885997987816,0.7027999550208028,,
South Sudan,33872,803,0.003025979992904956,2.3706896551724137,1558542,1557538
Spain,4224008,28271,0.09034386920371335,0.6692932399749243,747326,711029
Sri Lanka,22863,130,0.0010677034079366748,0.5686042951493679,7179183,6355154
Sudan,36985,273,0.000843457618415486,0.7381370826010545,57814672,53029128
Suriname,10065,11,0.017157205344388495,0.1092896174863388,15331112,10127207
Sweden,146942,3821,0.014549764487928335,2.6003457146357065,15774300,15153577
Switzerland,1040193,28550,0.12018936017742204,2.7446829578741636,9890341,9652973
Syria,15028397,98751,0.8587333035554037,0.6570960296031573,53157460,49703318
Taiwan*,164069,3597,0.0068888000159551405,2.1923702832344927,2980987,2860142
Tajikistan,5040518,112459,0.528486810471603,44.82093918672583,18866465,14317528
Tanzania,898045,2302,0.01503401409172328,0.2563345934780551,172232,118158
Thailand,22201340,175330,0.31807087389053335,126.62601950607426,22157232,14287370
Timor-Leste,895775,7197,0.67941934495412,0.8034383634283163,79947189,77754108
Togo,238556,1637,0.028815506519895485,0.6862120424554402,649673,411501
Tonga,7151,13,0.06765565720881388,0.18179275625786603,2829929,2373900
Trinidad and Tobago,522263,5706,0.3731806778321547,1.0925529857562186,5835677,3641341
Tunisia,10638632,43037,0.900158715680632,0.4045350943617563,,
Turkey,11818,2149,0.00014012486052282272,18.18412590962938,,
Uganda,319594,3976,0.006987035701012221,1.2440784245010859,,
Ukraine,,,NaN,,,
United Arab Emirates,,,NaN,,,
United Kingdom,,,NaN,,,
Uruguay,,,NaN,,,
Uzbekistan,,,NaN,,,
Vanuatu,,,NaN,,,
Venezuela,,,NaN,,,
Vietnam,,,NaN,,,
West Bank and Gaza,,,NaN,,,
Western Sahara,,,NaN,,,
Yemen,,,NaN,,,
Zambia,,,NaN,,,
Zimbabwe,,,NaN,,,
Australia,,,NaN,,,
Canada,,,NaN,,,
China,,,NaN,,,
US,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
,,,NaN,,,
